"Total energy consumed by the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"208,600","208,150","225,398","239,176","249,133","257,459","282,715","317,508","352,836","376,949","400,637","432,077","461,433","508,272","488,267","487,288","508,176","528,643","550,247","569,714","549,575","541,833","541,879","560,980","583,690","590,637","621,820","662,463","694,440","674,415","682,499","665,019","668,815","741,558","753,133","789,882","834,757","803,003","830,768","859,992","859,660","858,312","860,621","887,881","924,930","965,733","949,386","924,795","865,148","928,478","950,981","928,006","841,752","820,988","786,806","827,578","793,742","844,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"61,778","74,032","66,104","69,466","74,849","78,979","91,537","105,098","122,002","125,141","125,344","138,833","136,476","140,854","128,660","130,543","131,684","141,346","144,630","156,359","146,713","124,102","102,196","117,875","129,351","142,888","127,072","124,138","140,944","154,497","154,545","151,201","144,127","130,086","139,865","138,041","121,533","117,181","114,518","122,989","125,096","131,913","140,049","162,790","171,898","179,069","181,193","194,213","136,311","132,818","136,265","144,373","142,163","141,614","142,218","145,704","146,112","146,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"151,001","147,507","153,878","159,082","161,376","161,744","171,703","183,403","196,338","206,896","210,247","230,011","238,881","256,476","246,911","248,508","257,384","261,075","260,059","259,122","238,037","226,744","231,164","229,299","228,259","222,333","218,170","228,123","235,332","237,178","235,625","228,184","226,937","231,808","247,614","256,890","272,661","266,370","275,603","274,154","270,870","269,707","278,469","281,548","296,253","300,575","306,920","312,303","305,267","298,535","302,073","305,489","292,040","297,563","308,142","299,217","315,883","299,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"42,448","41,866","44,468","43,894","45,479","49,550","53,667","54,383","56,019","60,261","65,806","68,285","73,323","75,193","76,433","79,098","84,321","88,129","93,007","99,686","83,315","76,720","75,113","74,453","77,642","79,813","80,510","82,283","84,336","88,615","90,874","88,787","89,674","100,692","103,105","110,452","112,208","114,869","117,181","123,440","124,232","121,404","123,253","117,133","122,151","123,117","131,126","135,418","123,960","122,787","133,716","129,250","131,028","135,107","136,224","151,004","157,822","158,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"504,426","508,786","520,939","555,651","568,926","597,583","630,804","677,664","730,200","758,771","790,952","810,200","884,876","923,453","881,589","883,956","919,702","945,704","976,087","930,049","821,458","784,427","767,689","787,729","707,471","733,119","725,802","735,374","787,563","802,325","788,109","759,275","773,390","801,014","781,719","799,790","824,215","833,857","851,716","939,220","967,766","938,297","907,064","953,000","1,004,276","1,107,542","1,052,302","1,052,593","1,006,428","983,604","966,887","957,650","929,707","942,568","963,299","1,000,053","1,004,985","1,007,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"265,284","262,745","277,217","284,318","289,382","300,042","316,147","326,392","342,193","359,239","377,796","391,294","424,550","441,971","430,689","429,976","445,748","453,325","463,957","470,907","441,657","446,984","432,620","439,574","513,196","520,787","552,469","578,042","562,368","577,378","581,671","567,839","558,794","580,695","603,534","621,793","607,597","608,934","613,596","629,856","658,504","603,567","648,202","671,849","639,214","643,640","655,506","639,531","600,371","581,133","610,182","609,975","595,435","620,809","631,106","631,505","631,429","614,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"172,858","178,233","176,565","193,960","178,331","197,148","209,458","214,514","228,465","236,882","250,710","256,558","273,146","269,163","271,331","269,148","273,595","268,827","286,644","288,878","279,218","266,030","255,159","246,221","257,072","268,172","273,068","278,352","294,398","285,614","280,304","260,471","255,948","260,226","247,301","274,175","273,318","271,115","270,026","285,477","269,988","251,256","260,491","285,777","273,169","257,995","272,215","278,727","275,659","285,175","281,300","273,728","269,664","285,653","301,831","280,606","274,442","266,933",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"153,635","153,410","169,687","180,892","187,832","191,777","205,416","214,533","232,321","247,884","261,341","265,443","284,282","297,055","287,068","288,098","302,855","309,564","333,814","342,198","324,017","323,231","318,534","332,803","337,644","323,387","344,232","358,877","386,223","404,451","379,595","378,096","393,921","407,849","405,793","421,760","396,465","427,334","424,989","440,965","441,204","447,959","463,106","448,255","484,232","475,522","471,912","492,681","457,295","465,287","472,721","463,796","443,518","437,880","450,114","462,212","466,146","470,715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"256,944","253,709","255,773","267,091","283,681","311,121","318,865","340,713","358,477","385,716","392,151","390,660","425,494","474,451","509,274","511,108","546,644","585,309","588,509","581,423","646,701","661,774","580,654","599,636","598,755","585,795","661,328","652,242","694,276","693,330","690,577","725,553","725,759","723,706","764,496","764,497","834,591","801,675","781,167","776,300","854,208","753,034","775,051","771,809","756,428","716,379","769,679","708,605","672,475","667,212","711,313","712,848","655,237","657,486","644,196","695,549","716,026","776,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"220,223","232,639","242,221","252,038","254,929","268,600","271,133","290,677","313,736","324,262","348,866","362,542","379,915","391,349","371,093","369,400","380,724","385,290","386,801","385,655","358,305","359,128","362,384","362,472","370,142","381,532","389,179","403,559","420,664","420,228","406,705","389,293","386,608","391,001","394,318","401,524","419,265","425,542","425,974","437,874","452,555","446,659","448,348","447,334","473,407","484,687","477,848","485,588","478,693","442,887","445,371","447,999","437,660","452,542","431,898","445,559","471,549","458,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"172,937","172,669","198,195","199,643","207,162","217,118","229,080","225,512","248,291","255,378","273,132","273,569","289,740","303,286","296,987","297,309","310,253","321,158","325,821","318,501","318,826","323,669","312,847","305,649","308,196","317,632","325,874","338,551","351,166","360,646","331,344","336,632","344,063","342,224","343,241","348,943","357,932","368,560","379,085","399,931","402,620","404,584","401,192","416,829","439,190","457,080","463,331","457,311","441,162","457,372","440,247","425,404","422,779","426,806","418,131","429,445","416,254","413,017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"66,698","70,106","70,398","72,081","71,079","68,812","75,656","73,728","80,026","81,208","87,633","93,187","108,008","111,181","96,675","92,405","97,198","98,683","98,767","93,555","83,348","82,477","85,807","83,798","89,155","94,003","100,742","108,321","122,448","110,119","115,386","105,823","104,061","105,456","107,390","101,923","105,327","110,610","107,844","111,710","119,837","107,042","121,962","130,778","121,259","130,704","130,715","125,025","116,389","122,071","121,969","120,644","114,878","128,052","129,213","129,139","131,160","123,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"387,291","388,670","405,877","429,765","450,804","467,377","501,020","526,853","574,018","606,128","593,490","607,502","660,210","688,431","665,594","660,805","696,664","712,202","724,044","690,809","620,136","600,307","567,289","577,010","601,213","614,673","634,968","667,095","692,249","685,553","683,927","695,926","701,060","738,727","741,775","760,951","767,783","782,989","801,136","837,783","815,944","802,819","824,625","795,704","805,637","802,762","797,393","788,198","739,586","723,024","717,801","701,435","693,389","725,661","717,505","732,880","741,472","734,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"181,361","182,477","185,949","194,347","197,456","207,273","221,296","222,770","244,657","260,291","274,085","288,738","302,868","322,903","317,686","319,516","326,930","330,760","348,762","359,554","331,579","317,753","306,687","310,839","340,655","333,044","336,886","334,133","348,749","343,924","339,237","358,208","380,355","401,059","416,902","433,207","443,367","440,457","463,324","495,464","512,778","501,501","511,500","513,689","528,665","531,930","521,036","524,830","499,949","464,257","468,864","461,769","468,358","447,815","450,452","445,906","467,516","461,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"253,774","255,857","276,089","282,147","292,306","304,630","305,174","322,431","359,165","370,069","390,887","403,843","423,903","428,118","421,345","424,725","444,349","456,659","468,827","446,792","410,564","399,232","404,843","409,781","420,918","430,001","449,790","459,201","476,640","483,578","477,139","474,217","491,151","505,757","520,023","539,983","566,688","578,783","627,741","620,735","555,297","555,043","570,918","593,121","576,776","590,446","593,859","600,283","573,219","559,769","563,850","553,819","535,903","541,520","552,519","551,126","557,469","551,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"129,284","129,426","141,230","153,210","157,763","161,776","168,991","176,286","198,757","210,252","216,001","228,125","240,855","251,348","246,921","231,074","234,643","248,691","258,179","258,528","260,868","257,914","252,704","241,494","243,198","250,723","269,475","294,124","308,474","288,807","291,495","315,059","327,507","329,774","331,430","335,696","340,820","350,986","352,206","370,166","359,299","348,205","354,453","376,131","363,544","356,654","376,085","372,075","360,478","356,042","361,958","354,414","383,768","368,113","380,124","391,014","435,344","443,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"58,237","61,779","60,378","58,193","57,799","57,766","62,119","56,816","61,677","66,235","68,133","71,279","75,979","83,795","85,511","82,156","88,270","85,826","97,496","91,657","88,911","83,829","80,847","83,360","82,805","81,484","81,233","82,080","84,305","82,922","81,965","81,075","87,906","90,766","94,515","98,500","97,001","99,053","99,527","103,986","105,831","107,459","107,756","102,751","110,572","117,876","120,837","126,800","117,735","112,325","115,784","116,836","113,891","117,502","112,938","111,539","115,083","116,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"231,966","243,042","249,869","264,626","274,217","279,390","295,241","307,337","328,939","348,128","364,046","374,922","399,104","426,207","426,363","423,769","442,970","463,617","483,389","480,386","443,752","448,448","448,510","468,538","478,735","493,450","519,831","544,494","575,667","549,735","537,113","530,406","539,320","559,650","579,176","601,138","638,394","649,491","664,594","679,167","702,536","692,564","700,765","714,563","735,463","748,741","739,423","757,860","755,994","699,760","702,296","682,971","670,931","722,737","722,964","709,692","721,922","724,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"41,695","40,677","46,790","47,514","48,313","47,312","49,886","52,606","57,642","55,525","54,265","58,251","60,802","62,694","60,288","63,051","65,875","70,600","73,158","72,991","72,472","72,620","73,199","69,206","70,543","68,752","66,907","67,693","68,573","67,317","65,276","66,390","69,684","73,265","72,715","72,855","74,552","75,700","66,695","81,957","80,608","87,878","87,632","89,080","92,114","91,928","90,931","102,882","92,627","86,887","100,661","116,427","132,365","137,887","146,647","136,126","123,040","130,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"94,221","96,624","101,163","108,334","107,127","102,134","107,674","116,443","129,823","132,426","139,324","142,822","155,550","163,493","153,188","149,936","158,184","168,375","172,968","156,116","141,002","131,799","135,509","144,332","141,399","141,050","141,525","148,017","161,225","153,416","151,842","148,328","154,150","150,645","153,903","163,477","177,952","180,913","188,843","194,152","172,532","162,360","167,050","172,414","173,702","172,620","174,329","176,340","176,044","176,671","205,042","198,866","192,474","193,830","201,230","200,125","200,878","202,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
