Retail sales of electricity monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=00000001&endsec=vg&linechart=ELEC.SALES.VA-ALL.M&columnchart=ELEC.SALES.VA-ALL.M&map=ELEC.SALES.VA-ALL.M&freq=M&start=200101&end=202001&ctype=linechart&ltype=sourcekey&rtype=s&pin=&maptype=0&rse=0
16:00:33 GMT+0800 (China Standard Time)
Source: U.S. Energy Information Administration
Month,Virginia : all sectors million kilowatthours
Mar 2007,
Mar 2007,
Feb 2007,8631.72077
Jan 2007,9834.00783
Dec 2006,9731.61914
Dec 2006,
Dec 2006,
Nov 2006,8960.61688
Oct 2006,8207.22846
Oct 2006,
Oct 2006,
Sep 2006,8117.4942
Aug 2006,8631.28892
Jul 2006,10796.14745
Jul 2006,
Jul 2006,
Jun 2006,10835.13083
May 2006,9127.98139
May 2006,
May 2006,
Apr 2006,8145.29088
Mar 2006,7560.73925
Mar 2006,
Mar 2006,
Feb 2006,8518.529
Jan 2006,8701.39834
Dec 2005,9119.3954
Dec 2005,
Dec 2005,
Nov 2005,9843.54699
Oct 2005,8049.99908
Oct 2005,
Oct 2005,
Sep 2005,8334.53196
Aug 2005,9307.81508
Jul 2005,10793.4772
Jul 2005,
Jul 2005,
Jun 2005,10550.83944
May 2005,9308.94935
May 2005,
May 2005,
Apr 2005,7738.31536
Mar 2005,7489.82473
Mar 2005,
Mar 2005,
Feb 2005,9125.34971
Jan 2005,8364.8422
Dec 2004,9942.06089
Dec 2004,
Dec 2004,
Nov 2004,9221.67905
Oct 2004,7910.79782
Oct 2004,
Oct 2004,
Sep 2004,7609.45649
Aug 2004,8399.62453
Jul 2004,9704.82915
Jul 2004,
Jul 2004,
Jun 2004,9959.31414
May 2004,8849.44671
May 2004,
May 2004,
Apr 2004,8838.03664
Mar 2004,7677.29514
Mar 2004,
Mar 2004,
Feb 2004,8136.00616
Jan 2004,9105.78302
Dec 2003,10011.90416
Dec 2003,
Dec 2003,
Nov 2003,9221.45
Oct 2003,7553.11871
Oct 2003,
Oct 2003,
Sep 2003,7642.52939
Aug 2003,7720.50079
Jul 2003,9900.09155
Jul 2003,
Jul 2003,
Jun 2003,9728.45467
May 2003,8163.9271
May 2003,
May 2003,
Apr 2003,7318.19263
Mar 2003,7267.6282
Mar 2003,
Mar 2003,
Feb 2003,8107.99196
Jan 2003,8940.41472
Dec 2002,9945.43127
Dec 2002,
Dec 2002,
Nov 2002,9019.0863
Oct 2002,7604.04704
Oct 2002,
Oct 2002,
Sep 2002,7773.99217
Aug 2002,8631.3189
Jul 2002,9720.73938
Jul 2002,
Jul 2002,
Jun 2002,9885.20764
May 2002,8922.80412
May 2002,
May 2002,
Apr 2002,7578.78843
Mar 2002,7249.86798
Mar 2002,
Mar 2002,
Feb 2002,7674.8319
Jan 2002,7840.66255
Dec 2001,8717.22359
Dec 2001,
Dec 2001,
Nov 2001,7859.22097
Oct 2001,7163.3551
Oct 2001,
Oct 2001,
Sep 2001,7271.71955
Aug 2001,7752.66492
Jul 2001,9403.76786
Jul 2001,
Jul 2001,
Jun 2001,8896.42304
May 2001,8263.63288
May 2001,
May 2001,
Apr 2001,7223.5769
Mar 2001,7153.24248
Mar 2001,
Mar 2001,
Feb 2001,8069.86409
Jan 2001,7819.86857
Dec 2000,9575.83865
