"Total energy consumed by the residential sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"108,371","109,638","114,791","121,071","132,845","131,610","136,924","140,142","147,991","163,952","166,222","179,530","185,580","185,702","185,419","195,312","190,525","186,176","199,420","212,429","196,477","192,964","199,703","189,072","201,821","211,057","194,517","191,729","202,553","219,552","212,736","222,151","210,014","236,382","233,108","229,858","237,845","235,362","237,008","249,941","252,044","245,015","242,446","243,895","232,711","243,723","251,906","251,259","258,426","260,035","245,707","263,871","245,423","256,182","245,659","231,713","240,018","264,152",,,,,,,,,,,,,,,,,,,,,,,,,
PA,"692,826","689,269","706,293","711,172","706,483","720,648","741,853","766,458","794,771","817,820","850,744","866,284","887,657","885,119","838,469","836,186","890,623","895,353","908,302","913,009","903,905","876,199","838,048","835,558","869,720","840,891","841,997","848,038","899,470","929,471","832,200","853,015","873,871","911,073","916,902","914,331","946,650","894,738","832,123","890,363","945,050","911,519","944,061","991,587","984,184","995,938","906,462","965,032","1,015,210","921,625","947,395","925,964","864,195","932,763","970,346","947,985","896,648","870,554",,,,,,,,,,,,,,,,,,,,,,,,,
RI,"52,537","52,323","52,315","52,879","47,353","52,060","51,248","55,316","58,385","63,629","66,041","69,201","72,752","69,208","66,675","66,421","70,297","70,349","69,144","65,918","62,450","57,080","57,336","60,643","63,175","66,351","64,998","67,084","72,140","70,622","68,061","64,600","68,606","67,078","66,939","64,173","66,286","63,113","59,098","60,905","64,247","64,712","65,197","74,288","74,139","70,755","62,217","63,969","60,977","61,306","62,065","59,994","59,640","66,336","65,952","67,999","58,060","56,517",,,,,,,,,,,,,,,,,,,,,,,,,
SC,"107,935","107,977","115,149","114,521","114,937","109,146","116,021","120,756","132,951","141,103","149,005","155,600","158,169","168,693","162,474","164,302","190,621","200,396","198,013","182,167","198,858","194,562","202,069","202,949","217,087","216,421","229,265","239,226","242,247","250,994","243,070","250,882","253,233","278,680","265,508","285,377","302,330","286,003","305,030","307,068","326,753","316,588","332,423","335,289","353,897","356,710","349,676","362,460","367,753","360,635","403,448","370,071","339,838","351,411","376,892","364,063","367,958","350,866",,,,,,,,,,,,,,,,,,,,,,,,,
SD,"33,061","33,837","35,599","35,513","37,185","36,783","36,625","36,084","39,391","42,832","45,466","44,233","48,026","44,842","44,869","47,695","50,428","50,424","55,302","53,261","52,509","48,463","53,180","52,956","51,982","53,191","53,821","51,754","54,766","58,745","58,819","58,704","53,247","59,627","57,986","59,713","66,345","60,841","57,518","55,828","60,205","61,359","63,586","64,210","62,110","64,690","63,745","68,100","72,725","72,355","71,664","71,328","63,084","73,380","73,281","66,496","66,406","66,941",,,,,,,,,,,,,,,,,,,,,,,,,
TN,"185,340","182,867","196,375","208,968","209,143","217,082","236,178","239,742","266,820","288,889","301,121","302,420","314,646","320,438","311,261","350,465","360,782","394,830","389,593","380,023","380,791","356,741","366,562","361,457","383,783","373,108","367,896","381,623","395,849","412,468","394,052","409,431","409,670","418,040","446,361","426,652","493,538","452,731","475,295","480,671","502,178","497,911","511,474","504,430","513,166","540,259","535,779","565,271","562,891","533,143","604,605","562,714","497,970","531,238","562,116","535,307","529,617","496,823",,,,,,,,,,,,,,,,,,,,,,,,,
TX,"361,564","356,569","415,619","440,343","452,851","461,103","490,615","521,366","568,295","643,243","679,459","721,274","783,494","795,978","788,958","762,344","769,831","868,874","932,549","942,649","930,859","908,845","970,137","948,409","1,049,831","1,078,768","1,051,404","1,090,322","1,119,961","1,194,092","1,188,330","1,207,492","1,173,368","1,248,382","1,260,933","1,299,082","1,387,646","1,408,189","1,481,434","1,464,943","1,566,186","1,551,294","1,624,199","1,573,662","1,525,084","1,612,334","1,532,066","1,548,942","1,580,834","1,589,406","1,687,043","1,745,786","1,599,536","1,684,133","1,709,452","1,689,588","1,656,795","1,640,607",,,,,,,,,,,,,,,,,,,,,,,,,
UT,"42,296","45,079","49,329","47,719","52,213","49,026","54,604","58,376","60,714","65,537","67,572","76,632","76,323","79,357","85,517","92,245","100,962","73,122","87,161","103,523","105,649","105,736","94,746","111,624","111,515","117,345","107,404","94,242","97,565","102,564","97,188","108,022","101,163","111,021","109,346","110,545","120,287","126,291","124,307","129,116","133,898","134,591","142,921","139,037","146,844","149,483","155,293","157,073","163,049","161,450","164,005","169,658","160,832","174,921","159,065","158,733","166,206","174,730",,,,,,,,,,,,,,,,,,,,,,,,,
VA,"192,104","198,615","205,750","213,368","211,239","221,208","241,512","252,210","269,692","279,277","296,482","298,297","312,563","322,393","312,699","324,099","349,229","362,506","368,413","394,304","361,893","345,974","349,726","358,073","382,780","390,163","418,231","434,697","457,850","474,941","435,939","454,551","467,843","507,067","499,154","517,153","545,028","524,418","518,383","538,210","577,531","555,206","591,289","605,674","629,194","661,442","615,887","658,954","646,293","638,429","683,493","633,109","579,610","625,589","643,199","611,356","578,596","553,776",,,,,,,,,,,,,,,,,,,,,,,,,
VT,"26,582","29,575","30,740","31,199","29,962","34,010","36,666","38,414","40,949","43,160","43,858","44,251","47,861","48,001","43,729","41,353","46,545","44,946","47,098","47,720","41,363","38,663","35,132","40,278","42,865","41,288","32,783","35,471","38,809","42,284","38,706","39,592","42,242","41,284","40,402","38,209","40,248","38,698","36,870","34,831","41,169","41,216","42,187","44,415","47,275","47,877","45,407","45,451","43,105","49,573","48,033","46,988","37,424","41,990","44,370","46,200","42,468","43,325",,,,,,,,,,,,,,,,,,,,,,,,,
WA,"176,001","177,510","182,237","187,631","201,920","201,449","213,034","216,596","237,249","258,306","268,541","283,348","311,876","307,906","304,009","299,500","312,084","319,724","334,912","360,765","348,104","388,314","398,764","371,942","367,529","385,985","360,265","351,361","374,925","404,233","395,008","407,910","379,146","434,586","411,044","422,281","442,781","437,584","434,823","463,730","474,444","493,249","471,022","459,334","471,403","458,552","484,919","488,276","510,528","515,010","491,360","511,673","479,506","494,023","481,639","450,815","454,319","504,107",,,,,,,,,,,,,,,,,,,,,,,,,
WI,"249,866","262,439","273,564","272,845","271,892","288,621","304,349","326,967","333,603","345,191","348,923","355,990","352,275","354,772","359,611","363,002","380,123","381,133","400,502","389,526","364,592","347,242","359,738","347,150","365,582","375,984","368,564","347,450","380,705","390,522","367,802","391,765","379,839","393,885","387,802","404,631","427,423","401,783","380,105","408,009","420,211","417,446","450,594","442,888","437,515","474,713","433,010","450,624","459,822","428,277","427,722","427,450","396,635","443,819","451,636","417,201","412,498","414,026",,,,,,,,,,,,,,,,,,,,,,,,,
WV,"86,520","87,294","91,023","94,807","93,780","94,169","100,318","102,602","108,616","112,479","112,281","113,957","122,480","121,615","122,888","124,226","129,837","138,347","144,462","148,307","145,393","140,656","139,260","131,874","133,638","129,978","132,072","131,730","137,700","141,037","121,094","126,262","129,952","138,447","137,550","142,035","145,411","140,888","133,046","140,403","144,084","145,463","148,113","149,373","153,022","162,970","156,634","163,991","166,599","172,744","181,877","171,031","159,420","173,682","178,596","161,181","155,467","143,794",,,,,,,,,,,,,,,,,,,,,,,,,
WY,"16,111","17,291","18,306","16,297","18,093","18,468","19,860","20,904","22,335","26,456","30,106","32,523","36,526","27,938","25,696","26,288","26,984","27,488","32,659","34,566","30,697","32,800","41,199","43,032","40,574","39,930","36,932","34,786","36,052","35,404","34,725","36,572","34,309","37,764","35,986","37,725","40,071","37,915","37,433","37,203","38,808","38,582","41,474","41,412","40,927","42,273","43,352","47,154","49,374","47,842","47,534","49,225","45,131","49,130","48,016","47,882","49,020","51,239",,,,,,,,,,,,,,,,,,,,,,,,,
US,"9,033,190","9,280,028","9,776,931","9,982,426","10,232,757","10,632,381","11,156,752","11,631,475","12,330,437","13,161,405","13,728,645","14,210,554","14,861,651","14,919,481","14,651,895","14,814,536","15,417,206","15,663,022","16,143,315","15,813,447","15,731,634","15,247,535","15,497,034","15,399,060","15,920,721","16,041,775","15,951,750","16,228,823","17,132,762","17,775,513","16,936,961","17,405,449","17,336,809","18,210,653","18,095,970","18,513,245","19,503,793","18,959,551","18,947,846","19,538,631","20,389,499","20,025,573","20,763,185","21,083,173","21,043,039","21,571,284","20,623,995","21,489,150","21,634,977","21,050,345","21,860,403","21,345,572","19,827,852","21,019,479","21,418,011","20,586,368","20,151,259","19,864,029",,,,,,,,,,,,,,,,,,,,,,,,,
