"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"701,005","705,734","764,902","802,968","857,040","917,174","997,589","1,062,811","1,154,038","1,228,189","1,280,820","1,348,865","1,435,584","1,555,110","1,495,568","1,489,772","1,552,529","1,628,701","1,683,045","1,729,590","1,717,236","1,694,324","1,679,709","1,749,228","1,875,179","1,931,023","1,953,662","2,049,053","2,138,263","2,219,567","2,229,497","2,222,310","2,266,409","2,418,511","2,435,118","2,615,810","2,773,234","2,750,809","2,783,020","2,801,452","2,917,685","2,817,370","2,932,811","2,953,949","3,092,965","3,107,413","3,088,790","3,078,111","2,946,751","2,913,738","3,110,965","2,994,479","2,776,792","2,792,277","2,860,369","2,855,873","2,830,673","2,802,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"94,839","113,754","108,286","114,265","123,433","130,560","145,474","163,865","182,799","190,862","196,947","211,673","218,057","224,312","212,103","214,378","220,042","233,334","236,970","256,604","262,347","236,718","218,095","221,150","232,426","248,554","245,329","249,461","289,691","309,767","321,420","295,150","306,030","282,651","299,033","296,774","283,060","273,483","273,387","269,352","273,307","270,115","284,651","300,905","314,701","324,677","327,116","337,594","276,444","275,894","277,125","285,580","277,993","278,467","279,315","282,832","282,609","283,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"601,996","600,070","626,526","644,262","669,473","696,730","698,683","747,574","781,902","821,912","850,609","862,483","904,471","962,796","949,663","942,050","979,112","979,937","962,094","1,038,993","983,303","968,673","969,163","953,081","936,823","897,903","901,984","906,929","978,710","940,800","945,523","981,701","972,802","1,034,530","1,066,247","1,104,075","1,147,812","1,134,407","1,143,156","1,193,410","1,189,785","1,161,757","1,190,895","1,186,360","1,241,103","1,273,526","1,301,152","1,377,763","1,441,115","1,448,322","1,501,429","1,500,298","1,430,775","1,521,430","1,544,275","1,496,879","1,526,700","1,558,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"190,661","202,853","211,160","213,298","230,412","234,742","245,066","266,750","287,248","286,782","296,399","311,605","334,033","337,008","347,813","358,858","362,198","366,421","369,908","384,011","347,655","361,884","350,310","345,649","346,809","354,814","342,134","345,498","365,706","399,732","405,394","415,458","420,042","435,208","449,909","463,563","497,186","499,451","504,230","527,549","539,795","500,985","496,318","469,733","501,895","510,855","524,107","541,340","537,344","502,503","519,029","518,348","511,607","528,001","521,357","537,079","538,146","553,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"2,523,973","2,558,990","2,656,186","2,719,427","2,849,301","3,026,466","3,185,513","3,315,076","3,450,826","3,634,712","3,696,737","3,722,756","3,929,667","4,019,481","3,956,458","3,860,591","4,019,369","4,099,481","4,199,421","4,049,381","3,768,260","3,547,208","3,394,044","3,472,747","3,502,000","3,434,273","3,416,921","3,472,023","3,702,319","3,619,229","3,580,209","3,644,007","3,622,832","3,725,970","3,743,317","3,853,196","3,938,643","3,913,819","3,826,133","3,995,268","4,013,834","3,883,570","3,898,881","3,925,611","3,972,309","4,117,081","3,967,074","4,073,291","4,077,423","3,859,018","3,955,815","3,938,310","3,818,052","3,974,919","4,045,608","3,892,959","3,896,291","3,871,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"1,530,437","1,551,091","1,580,987","1,635,028","1,714,801","1,798,393","1,919,366","1,952,042","2,043,409","2,157,093","2,219,775","2,236,217","2,435,885","2,474,472","2,432,022","2,377,767","2,410,240","2,485,596","2,535,537","2,585,762","2,400,197","2,359,274","2,177,454","2,197,757","2,271,002","2,301,292","2,262,531","2,380,691","2,484,357","2,517,053","2,491,803","2,474,327","2,460,079","2,566,565","2,551,217","2,617,303","2,702,114","2,681,048","2,670,826","2,784,972","2,866,319","2,770,152","2,855,195","2,936,543","2,928,999","2,954,463","2,891,926","2,956,935","2,916,022","2,712,732","2,866,383","2,849,969","2,770,593","2,895,980","2,933,541","2,850,415","2,797,737","2,700,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"631,316","618,147","639,460","641,033","657,075","723,629","763,521","722,888","793,842","839,336","874,267","908,254","961,171","966,322","959,652","924,911","972,467","981,082","1,037,084","1,132,093","1,022,129","947,309","944,960","917,190","1,016,638","1,011,726","974,201","1,015,692","1,069,693","1,042,967","1,064,807","1,059,621","1,046,235","1,074,697","1,100,185","1,064,806","1,094,623","1,083,879","1,072,206","1,090,691","1,097,996","1,047,404","1,083,100","1,123,206","1,103,952","1,049,477","1,077,557","1,156,711","1,113,937","1,088,191","1,116,268","1,103,566","1,073,583","1,102,551","1,134,920","1,104,548","1,090,817","1,073,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"823,236","818,917","836,442","888,319","890,219","899,590","905,831","953,994","1,014,155","1,073,330","1,104,720","1,117,666","1,203,074","1,236,974","1,228,332","1,278,425","1,400,423","1,414,018","1,400,112","1,432,637","1,367,982","1,297,313","1,262,083","1,276,623","1,375,310","1,329,732","1,304,571","1,341,279","1,419,083","1,509,038","1,462,349","1,486,558","1,548,516","1,587,070","1,634,592","1,703,188","1,721,367","1,729,804","1,688,062","1,774,843","1,765,988","1,796,300","1,947,606","1,881,793","1,955,739","1,982,416","1,972,905","2,042,882","2,007,247","1,929,419","1,992,796","1,919,082","1,879,922","1,823,592","1,772,796","1,729,083","1,703,559","1,658,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,502,163","1,564,830","1,580,187","1,747,248","1,866,221","1,832,996","1,973,892","2,236,542","2,422,111","2,701,453","2,836,864","2,897,554","3,083,286","3,317,510","3,408,243","3,107,626","3,535,790","3,936,486","4,095,231","4,044,770","3,909,016","3,962,025","3,637,501","3,431,465","3,575,817","3,340,207","3,500,802","3,564,236","3,601,826","3,759,315","3,853,208","3,841,451","3,960,443","4,027,617","4,162,529","4,202,218","4,381,101","4,491,357","4,222,082","4,218,619","4,537,417","4,005,733","4,140,006","3,984,517","4,187,227","4,027,364","4,230,829","4,285,419","4,227,032","4,035,422","4,258,967","4,259,602","4,123,205","4,056,895","4,087,136","4,094,109","4,199,207","4,481,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"1,054,127","1,079,950","1,111,915","1,083,270","1,119,625","1,245,258","1,247,984","1,326,492","1,373,613","1,402,415","1,464,384","1,493,798","1,546,466","1,581,551","1,475,055","1,420,313","1,499,176","1,486,580","1,471,615","1,308,451","1,246,693","1,215,717","1,234,902","1,231,961","1,292,240","1,313,664","1,383,264","1,404,906","1,427,362","1,459,706","1,406,735","1,365,807","1,432,260","1,435,468","1,439,775","1,423,819","1,449,314","1,442,673","1,422,363","1,469,085","1,520,958","1,516,969","1,532,886","1,497,920","1,497,446","1,491,182","1,419,728","1,457,967","1,435,846","1,375,551","1,419,173","1,400,310","1,364,040","1,428,265","1,433,812","1,449,205","1,421,131","1,424,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
