"Total energy consumed by the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"262,469","266,590","293,886","306,865","334,512","376,959","408,572","423,628","443,792","459,757","463,592","481,915","522,059","564,755","541,219","497,523","518,256","523,959","568,943","619,157","596,943","579,073","555,691","588,415","641,199","682,269","641,661","663,183","689,334","758,876","791,646","783,529","797,778","807,674","829,296","885,365","923,748","937,163","904,868","907,610","911,002","844,683","931,083","883,482","918,815","885,770","881,538","853,344","777,410","707,134","758,777","754,956","726,205","752,794","781,870","779,426","772,342","758,583",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"20,617","26,809","28,697","29,856","32,352","34,680","35,776","38,672","38,921","40,959","43,623","43,568","49,201","49,904","49,811","50,344","51,693","53,304","53,047","59,091","74,539","73,582","79,444","66,003","65,001","67,345","76,867","79,590","88,781","93,794","98,939","89,025","93,630","92,241","93,640","92,871","95,447","88,664","80,641","78,028","77,944","69,465","70,728","68,832","68,904","72,369","71,564","69,038","65,843","69,087","68,068","67,545","65,113","65,415","64,554","64,231","62,512","59,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"221,181","218,916","222,871","235,054","253,139","264,373","255,859","278,630","285,884","296,850","308,792","299,371","312,869","351,796","346,596","321,343","350,358","346,779","331,822","376,355","378,064","379,308","352,669","339,658","349,693","337,860","361,224","372,818","403,734","364,601","370,258","387,423","402,334","428,840","452,563","465,209","476,068","471,978","487,248","513,769","509,090","480,808","486,223","473,545","528,189","550,107","570,564","622,275","671,672","696,129","744,563","741,232","715,624","755,145","768,692","769,108","790,641","848,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"85,932","94,422","97,245","99,501","111,071","116,138","117,438","131,405","145,847","141,949","146,277","147,976","157,579","155,737","161,253","146,902","143,666","136,705","144,234","141,059","132,505","146,849","132,992","134,759","127,875","127,758","124,212","131,005","138,588","159,174","162,283","165,874","169,155","168,263","174,657","184,649","202,911","202,540","205,026","207,154","204,104","180,788","166,695","172,771","190,811","188,132","185,751","190,130","189,317","167,392","181,572","178,557","180,778","177,852","178,290","174,169","168,219","168,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,118,152","1,117,416","1,143,047","1,167,153","1,238,718","1,308,795","1,347,004","1,369,824","1,417,507","1,475,040","1,480,120","1,438,587","1,502,785","1,577,894","1,543,934","1,423,447","1,456,198","1,469,976","1,488,982","1,502,981","1,405,339","1,248,126","1,110,449","1,158,791","1,211,946","1,204,711","1,232,775","1,288,605","1,337,840","1,210,455","1,227,845","1,244,297","1,265,919","1,265,163","1,309,116","1,320,050","1,329,542","1,341,592","1,313,432","1,309,968","1,245,353","1,183,934","1,170,399","1,195,924","1,246,435","1,232,363","1,197,415","1,218,682","1,223,314","1,098,375","1,209,892","1,212,122","1,209,740","1,217,867","1,230,181","1,174,696","1,170,249","1,176,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"876,250","890,166","882,651","927,107","994,567","1,047,109","1,122,995","1,115,741","1,159,122","1,215,604","1,233,514","1,210,036","1,332,020","1,373,403","1,340,383","1,276,907","1,284,639","1,338,002","1,355,296","1,416,977","1,275,857","1,260,785","1,069,955","1,084,467","1,073,780","1,116,683","1,050,293","1,134,419","1,186,934","1,180,638","1,196,969","1,157,645","1,163,987","1,199,421","1,171,656","1,188,780","1,246,855","1,248,004","1,258,673","1,312,950","1,340,401","1,270,330","1,322,809","1,346,146","1,390,742","1,366,487","1,347,870","1,361,497","1,324,388","1,188,723","1,289,943","1,305,840","1,294,491","1,321,294","1,329,444","1,308,199","1,271,572","1,231,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"266,789","254,644","263,866","251,403","268,442","302,277","335,555","287,362","318,509","331,161","338,421","358,043","377,643","394,301","386,299","350,948","380,003","399,200","408,985","510,159","414,093","368,489","359,325","331,872","418,538","401,023","372,365","402,013","421,355","400,065","414,403","409,313","428,472","420,816","468,668","397,946","397,064","409,088","387,656","397,145","394,806","377,316","387,246","403,557","402,465","356,551","380,278","429,735","379,234","351,942","370,861","368,194","374,987","370,711","378,198","384,001","386,129","387,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"482,537","476,140","473,390","504,552","506,536","503,506","495,299","501,983","511,239","526,058","529,710","538,289","606,684","613,636","612,605","633,944","689,836","669,798","633,524","661,486","613,018","559,810","525,908","514,256","600,056","578,108","528,494","546,440","567,873","625,264","642,381","629,784","684,133","684,891","731,309","758,474","784,439","761,045","729,158","763,978","731,241","769,639","856,487","820,715","854,910","860,877","881,812","882,107","885,164","823,169","843,369","818,902","822,925","716,427","664,838","641,706","613,056","598,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,067,979","1,122,275","1,128,300","1,268,149","1,349,757","1,293,186","1,404,053","1,599,081","1,735,161","1,957,500","2,047,081","2,101,771","2,221,317","2,379,819","2,432,554","2,159,819","2,538,838","2,847,770","2,970,192","2,822,813","2,701,016","2,693,871","2,460,940","2,333,849","2,447,683","2,215,593","2,311,014","2,400,370","2,396,315","2,539,317","2,616,290","2,573,294","2,695,963","2,743,616","2,832,484","2,850,643","2,946,787","3,085,965","2,800,763","2,812,121","3,002,757","2,628,873","2,711,053","2,591,045","2,799,910","2,658,746","2,851,965","2,945,520","2,937,594","2,738,357","2,880,050","2,895,500","2,852,596","2,787,167","2,826,303","2,794,776","2,901,028","3,123,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"295,583","295,678","297,169","279,358","306,648","357,701","372,826","375,115","378,190","371,798","372,902","361,750","367,041","372,829","330,132","290,890","308,507","303,227","300,005","257,710","207,008","229,093","219,361","234,074","254,192","255,708","287,386","280,554","250,198","233,466","221,879","212,618","238,600","240,324","223,518","221,302","220,559","216,976","216,407","235,584","238,452","244,359","245,912","191,150","188,481","187,956","186,547","180,817","165,186","235,762","248,317","249,307","249,778","250,417","165,684","163,502","159,119","154,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
