"Total energy consumed by the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"215,963","229,843","237,502","248,837","251,322","251,659","271,103","268,679","280,251","303,979","323,031","336,197","373,724","387,117","371,786","334,937","392,210","407,119","394,711","414,133","415,468","436,287","394,629","415,083","456,116","457,023","492,010","516,100","535,394","537,497","543,143","549,950","570,777","584,979","591,668","614,183","620,725","668,130","655,396","639,237","652,688","614,540","627,713","618,984","640,034","628,907","621,277","595,268","564,882","505,756","528,816","538,250","536,782","539,036","554,258","555,953","527,840","535,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"39,016","38,013","37,615","39,749","41,197","38,543","41,439","39,101","38,599","40,672","43,574","41,783","42,097","43,238","38,664","45,699","49,500","48,894","51,019","54,510","49,518","44,854","49,672","46,221","42,327","41,914","50,067","50,459","54,414","57,837","58,233","55,215","55,596","59,893","60,154","58,437","62,871","62,650","60,346","65,150","68,919","55,924","63,149","70,780","81,807","91,182","97,586","109,341","130,713","138,684","150,462","151,411","149,387","156,017","157,163","155,233","153,435","156,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"531,078","525,265","527,870","554,937","570,882","598,142","647,088","632,299","623,025","629,132","623,505","602,387","654,452","749,214","732,328","728,164","805,501","792,035","723,286","750,785","709,949","694,277","611,165","645,907","741,640","721,549","699,094","700,886","735,155","732,537","724,348","731,668","815,716","826,919","846,596","858,308","866,074","673,165","721,463","730,810","725,514","750,729","729,966","733,021","746,298","747,047","746,883","728,411","713,425","579,303","631,171","635,920","630,764","582,349","598,033","578,137","590,559","600,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"3,056,168","3,069,702","3,165,107","3,345,982","3,405,389","3,551,653","3,807,968","3,977,727","4,201,384","4,419,534","4,567,692","4,771,282","4,957,040","5,393,950","5,242,930","4,620,408","4,853,219","5,214,961","5,468,165","5,667,886","5,892,280","5,623,971","4,798,840","4,684,517","5,057,733","5,011,345","5,005,719","5,214,395","5,599,184","5,756,248","5,921,546","5,944,286","6,098,777","6,125,668","6,335,180","6,450,296","6,955,567","7,220,696","7,175,851","6,827,063","6,923,032","6,641,225","6,767,300","6,744,464","6,824,169","6,127,421","6,145,022","6,006,813","5,489,032","5,161,079","5,758,934","5,807,811","5,996,535","6,355,872","6,303,981","6,462,092","6,562,290","6,754,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"167,479","163,365","159,126","160,875","175,674","178,614","182,390","170,970","180,909","197,767","194,466","192,545","200,450","215,329","219,873","221,179","227,639","229,719","230,565","234,424","217,064","208,561","186,138","195,685","195,717","180,631","154,872","144,005","193,780","207,104","207,583","213,313","205,750","210,126","210,648","242,240","247,559","240,340","260,497","231,989","252,224","224,263","180,291","200,251","208,432","226,975","218,136","218,417","216,744","200,625","210,265","220,813","235,268","243,440","236,043","227,426","220,951","222,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"288,114","300,076","308,322","335,755","346,812","382,880","402,896","373,728","388,955","374,262","357,919","361,250","373,891","386,865","369,513","349,615","370,640","381,399","379,118","421,876","430,382","422,606","412,642","434,833","470,301","470,400","475,357","492,135","500,584","519,473","543,923","534,544","536,521","531,999","552,647","565,765","564,356","566,155","574,545","583,358","576,248","539,343","516,831","539,088","561,089","570,243","546,570","545,592","519,287","445,328","450,695","447,643","447,217","447,420","456,922","451,643","441,217","435,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"13,958","14,572","15,006","13,874","13,157","16,714","19,416","19,714","21,250","22,603","24,114","25,713","25,494","26,466","23,871","23,286","30,859","27,854","30,569","30,108","32,654","31,776","32,186","33,149","37,012","38,149","39,101","35,336","36,179","31,206","22,400","26,502","26,019","23,600","23,511","22,997","24,006","30,389","23,133","23,555","26,922","26,127","25,262","24,309","29,104","27,698","27,742","26,619","24,127","25,750","28,476","26,619","21,982","20,411","20,819","18,051","17,683","18,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"386,631","396,088","417,552","447,847","480,153","508,332","533,125","555,263","589,270","637,818","617,172","614,004","691,907","690,769","693,539","639,020","651,858","649,861","689,015","670,058","664,235","720,213","624,596","624,010","699,960","637,915","655,018","692,056","762,596","754,624","783,793","749,753","755,824","729,731","730,020","730,568","697,925","716,600","818,451","845,557","732,592","507,738","427,997","446,322","470,652","513,422","560,598","509,635","526,053","525,337","578,523","583,181","581,675","573,525","577,367","564,456","553,000","535,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"334,411","340,594","356,920","375,502","406,142","430,715","452,709","461,496","478,387","494,694","512,536","498,172","482,237","512,866","485,791","472,190","474,052","520,722","527,517","505,980","562,702","558,090","541,934","554,001","568,581","580,789","531,263","527,852","560,785","542,207","533,975","541,385","548,177","576,470","602,019","625,650","642,647","673,322","659,140","691,607","710,341","688,937","672,528","661,985","686,164","676,450","641,481","635,243","617,254","554,430","594,515","592,800","579,108","599,691","609,573","590,770","585,513","600,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"413,645","447,628","447,447","470,090","508,546","523,530","527,927","488,647","538,541","536,771","523,273","492,462","517,070","520,396","516,121","461,867","491,858","465,193","439,751","449,937","425,200","406,462","359,575","323,696","349,113","303,083","318,843","326,048","353,175","365,968","353,244","318,969","311,725","317,703","332,815","326,047","307,433","297,804","322,733","296,555","302,052","299,400","324,162","288,926","299,336","286,164","319,185","339,520","339,309","255,010","284,432","290,041","287,013","296,144","319,726","320,526","312,016","333,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"74,670","85,753","98,815","93,877","92,080","93,085","95,703","107,684","125,533","140,335","142,633","147,770","158,428","161,228","156,397","162,951","180,051","198,016","211,656","228,738","218,912","206,101","207,951","185,824","204,687","207,599","196,046","213,693","211,956","222,986","243,493","233,657","266,839","239,665","244,723","226,760","231,445","234,798","237,152","227,590","231,528","237,967","236,194","246,370","241,228","239,110","254,584","289,111","301,164","294,016","308,552","328,895","324,181","314,348","308,000","284,872","281,572","286,055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"20,799,142","20,911,596","21,744,102","22,723,720","24,074,837","25,059,309","26,384,869","26,638,484","27,880,000","29,084,702","29,570,866","29,526,268","30,911,095","32,635,711","31,752,143","29,404,665","31,382,672","32,255,385","32,700,049","33,900,000","32,043,413","30,716,590","27,578,766","27,380,370","29,518,094","28,820,137","28,258,580","29,339,446","30,678,444","31,291,811","31,776,520","31,351,097","32,532,195","32,584,545","33,507,037","33,974,730","34,900,337","35,269,379","34,773,078","34,671,616","34,614,822","32,636,281","32,625,283","32,527,819","33,487,054","32,446,798","32,382,387","32,385,349","31,333,158","28,448,405","30,647,103","30,967,843","31,048,199","31,586,186","31,767,109","31,423,540","31,301,840","31,873,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
