"Total energy consumed by the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"67,054","68,698","77,192","80,731","85,525","92,144","99,203","107,418","123,385","137,627","148,322","159,584","173,688","186,738","183,459","193,814","206,896","223,538","208,234","207,156","208,227","219,099","224,063","237,228","259,380","264,454","273,698","289,347","304,821","322,432","320,009","324,398","334,315","354,042","361,772","393,909","421,674","437,165","447,560","447,765","491,158","491,148","482,989","503,208","533,977","543,376","545,442","564,130","566,089","551,515","581,305","564,498","537,296","531,588","549,710","551,841","555,441","533,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"5,300","5,576","5,748","6,244","6,853","7,025","7,660","8,375","9,238","10,706","12,521","12,520","13,741","14,546","14,330","14,534","16,387","17,966","18,506","19,715","20,074","18,097","16,854","17,179","18,341","18,393","20,940","23,771","36,949","36,095","37,211","28,810","38,614","30,736","35,024","34,607","34,035","35,502","45,896","35,962","37,282","36,573","39,356","37,508","41,261","39,903","40,680","40,243","40,866","40,682","40,111","41,157","39,187","40,590","41,137","41,330","41,486","42,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"68,840","71,206","77,277","77,326","80,316","85,725","89,772","94,253","99,651","106,130","112,265","116,182","122,279","126,792","129,112","138,387","140,262","140,222","134,870","149,782","124,782","135,353","141,787","143,802","134,282","125,249","118,568","116,136","128,918","128,790","134,661","144,605","137,812","149,775","146,808","152,242","158,334","162,821","159,930","171,841","172,899","181,561","188,317","193,119","183,843","184,372","193,670","199,565","208,483","207,296","205,827","207,447","199,167","215,609","213,526","201,781","192,375","190,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"25,307","29,410","31,256","31,604","33,296","29,084","33,414","33,914","36,900","37,770","36,102","42,385","46,187","47,833","49,490","60,624","59,968","64,233","57,532","62,774","59,486","64,810","64,752","60,670","61,290","65,128","61,211","62,088","68,385","71,493","72,829","74,933","79,694","74,997","82,783","78,397","87,185","85,827","86,463","94,544","103,155","95,193","100,049","76,502","78,698","80,680","82,877","86,738","88,203","84,722","82,879","85,263","83,205","88,010","86,953","88,995","89,271","92,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"316,878","331,761","355,253","359,655","381,626","425,589","480,267","511,311","518,784","550,809","560,996","574,966","600,083","610,793","612,748","623,301","670,162","679,606","710,924","671,366","633,179","641,868","639,406","644,688","670,946","621,088","605,349","612,088","657,795","653,798","680,424","692,929","672,414","712,464","724,516","746,990","764,999","766,553","754,704","796,130","833,171","818,481","821,707","784,834","753,435","771,777","774,967","799,556","819,427","801,383","782,164","788,925","764,491","804,384","820,930","793,951","797,525","796,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"107,067","109,372","115,774","119,903","124,171","133,280","142,933","153,455","162,647","177,011","188,984","200,659","219,551","213,177","213,588","221,872","228,373","227,910","225,845","226,988","224,625","210,203","225,246","240,018","248,509","239,436","235,917","237,872","271,036","285,880","279,015","286,419","286,329","302,939","303,577","314,785","324,723","321,552","323,237","331,024","350,927","392,175","348,991","369,441","368,709","373,995","361,352","377,537","400,125","383,789","383,734","376,554","360,733","384,939","390,447","375,685","369,281","356,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"67,809","48,591","58,125","58,226","69,883","74,379","69,651","75,334","88,381","100,130","103,533","109,580","118,643","111,689","112,623","121,110","130,025","128,140","146,018","143,230","142,493","137,349","142,143","145,469","154,197","154,528","151,507","153,723","163,291","165,895","174,055","182,765","174,119","181,085","180,718","183,813","198,894","190,416","192,933","187,903","200,648","197,098","203,613","203,019","204,159","201,306","201,889","213,137","216,866","211,800","215,958","216,339","208,036","210,306","214,598","218,880","217,087","213,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"51,873","58,042","59,848","62,313","56,202","59,849","61,616","76,574","85,455","95,272","99,974","100,610","106,007","115,277","120,634","129,343","155,669","162,997","162,386","162,710","164,942","153,803","153,643","163,213","163,353","159,126","160,376","160,540","173,888","181,100","172,697","184,778","182,858","188,345","193,544","201,611","205,551","220,963","220,530","236,401","245,380","243,262","259,184","252,672","258,069","265,004","257,776","274,054","271,128","257,565","263,991","253,109","252,056","284,459","264,088","265,076","270,206","257,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"69,509","79,458","76,832","84,977","91,695","92,231","100,735","134,156","150,363","161,215","186,756","191,243","202,516","212,894","218,018","187,075","195,246","227,369","258,707","359,780","282,764","313,706","306,793","220,516","231,309","239,223","234,013","217,857","217,051","223,510","229,213","226,416","226,090","229,446","236,958","239,767","245,418","252,157","265,996","267,483","290,847","267,757","277,330","269,378","275,702","280,911","265,047","284,976","270,160","276,968","281,885","280,565","277,045","269,129","268,267","270,292","265,999","269,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"191,615","195,589","204,942","194,361","205,430","239,722","246,098","273,648","280,799","286,135","302,862","310,537","321,462","336,192","309,717","308,322","326,840","323,324","323,001","277,463","280,411","256,457","278,874","255,656","273,121","279,509","298,725","304,423","324,641","351,892","349,082","353,143","357,718","348,504","368,903","372,735","380,215","385,439","377,696","358,921","374,722","368,648","373,605","384,541","380,689","373,059","349,987","367,187","360,354","272,430","288,715","278,165","271,767","303,283","397,975","404,149","394,273","401,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
