"Total energy consumed by the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"39,110","39,705","45,002","46,411","49,171","46,216","48,824","54,379","61,602","68,404","75,104","80,083","85,747","95,981","94,440","112,195","136,627","139,559","135,829","124,378","135,444","124,972","129,768","136,453","132,717","137,298","146,065","151,667","158,791","165,706","168,090","171,235","175,235","186,529","187,563","197,771","204,455","206,389","227,444","232,237","236,854","233,922","236,012","243,326","253,230","255,404","260,881","269,539","271,499","262,516","274,756","261,752","259,058","259,465","268,163","275,551","279,244","273,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"15,683","16,690","17,570","17,499","18,739","19,537","21,088","22,552","23,666","24,725","26,197","25,809","27,862","27,309","28,677","26,537","29,744","29,323","29,764","26,916","25,456","25,412","26,785","26,369","32,477","34,166","30,527","30,636","31,614","32,961","34,121","35,559","34,525","36,729","39,694","41,714","44,366","41,678","41,951","41,143","45,128","51,187","53,458","55,001","54,058","58,013","57,579","61,331","62,848","62,485","62,990","62,362","59,045","65,147","64,416","63,246","62,356","63,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"72,122","80,291","89,430","82,368","86,529","91,258","99,317","106,189","117,244","126,692","132,601","140,892","149,237","156,187","153,968","145,341","147,682","174,093","206,824","219,256","225,280","233,266","235,815","256,819","185,584","182,642","167,366","171,938","179,768","206,732","207,242","209,161","147,890","135,610","134,476","135,818","148,974","355,567","354,938","362,544","370,115","368,004","367,100","373,245","380,186","383,190","383,823","399,722","396,114","376,167","399,975","386,872","361,540","428,435","435,238","448,326","452,843","432,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"200,810","207,454","224,320","247,229","265,986","279,819","307,829","377,166","402,952","434,033","462,562","482,987","521,818","565,077","552,283","566,669","598,536","663,788","714,020","816,804","760,474","788,510","819,201","892,760","878,613","894,167","877,016","902,688","946,520","993,361","1,007,209","1,023,237","1,023,462","1,044,494","1,086,791","1,156,275","1,150,162","1,205,821","1,236,683","1,275,248","1,368,447","1,334,001","1,348,402","1,307,692","1,286,666","1,396,487","1,336,366","1,338,044","1,384,947","1,442,515","1,478,907","1,555,071","1,555,093","1,610,242","1,640,247","1,589,588","1,606,147","1,600,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"28,943","31,742","35,949","36,706","39,697","41,222","35,090","38,209","40,509","44,574","43,437","47,670","48,209","53,424","55,855","53,486","65,384","61,853","62,804","56,799","55,099","41,097","64,871","58,401","68,298","70,326","66,601","77,939","83,839","84,851","82,340","89,673","87,248","92,565","100,387","102,806","108,463","116,247","117,012","124,231","131,792","137,314","145,311","135,601","141,577","146,696","144,690","145,632","148,065","148,611","152,558","157,712","154,797","163,527","157,655","162,162","164,050","170,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"80,925","84,410","90,128","96,353","101,483","109,781","123,489","134,716","148,996","162,189","178,524","193,349","204,561","226,577","225,313","217,878","234,606","241,044","254,250","249,241","256,741","261,803","272,553","289,376","301,257","307,150","331,824","351,586","363,092","393,414","400,064","412,049","425,937","449,517","448,066","471,939","493,947","490,431","503,942","520,836","548,946","543,181","556,599","565,273","589,701","609,617","600,018","632,557","630,167","617,974","632,188","607,351","590,689","611,981","616,786","615,148","611,564","612,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"8,729","8,890","9,584","9,813","8,765","11,210","12,178","12,177","12,689","14,218","15,995","16,702","18,029","18,060","16,050","16,350","18,924","18,556","18,771","17,087","17,863","16,181","16,054","15,747","16,492","18,141","18,725","24,096","25,441","27,030","22,964","23,992","25,087","24,085","24,115","22,208","24,075","24,893","26,131","23,663","27,466","28,490","29,820","30,400","31,390","30,018","29,113","29,426","28,567","29,273","28,960","29,071","23,164","25,849","26,947","27,659","26,200","24,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"64,606","65,564","68,676","71,428","79,210","80,494","88,347","92,887","101,012","109,998","117,211","125,507","155,667","170,696","167,572","167,707","175,016","176,474","185,687","199,504","208,353","248,191","264,529","262,655","264,369","286,614","260,643","269,687","290,043","292,854","296,636","299,729","291,207","313,139","309,963","323,018","330,584","329,992","337,514","355,795","376,754","390,162","363,183","367,616","373,063","364,193","382,025","384,635","398,411","393,599","382,604","386,416","374,824","382,722","376,933","368,730","364,791","378,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"90,106","95,579","101,193","98,362","98,641","108,746","119,820","125,943","133,416","153,707","156,324","155,991","152,430","173,503","184,600","188,148","186,740","192,850","213,344","218,798","207,749","195,236","199,369","213,546","248,673","233,238","208,720","209,633","227,512","240,172","241,674","252,150","248,662","259,534","265,083","279,505","296,876","295,711","291,914","313,623","323,162","322,382","341,566","340,172","329,102","385,208","363,248","374,285","385,999","359,533","354,599","356,773","342,414","373,043","381,673","363,419","361,649","365,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"33,188","34,251","37,703","38,627","36,889","38,343","41,754","46,805","51,753","54,302","51,732","56,209","62,951","64,805","66,871","64,865","62,291","65,137","69,316","72,645","70,977","79,121","76,809","78,674","78,172","76,745","77,865","78,419","86,260","91,325","83,197","84,042","86,172","89,002","89,518","92,901","95,568","93,825","96,505","102,026","106,235","104,733","102,689","104,707","104,928","107,948","105,582","108,905","110,097","111,509","113,693","111,580","109,873","112,299","112,858","113,304","112,094","107,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"9,251","11,333","12,326","12,481","14,189","16,844","19,769","22,092","23,379","25,947","25,336","26,242","30,250","26,571","27,539","22,061","22,088","24,512","25,369","27,530","24,203","25,141","34,660","33,253","37,558","40,884","39,160","37,934","39,162","39,153","39,893","42,144","40,466","45,089","44,286","42,811","47,755","44,233","45,332","45,188","48,719","51,013","51,170","52,419","53,469","55,571","60,029","61,546","64,017","62,330","63,533","67,476","63,899","63,041","62,483","62,835","61,078","60,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"4,604,662","4,723,224","5,032,369","5,244,424","5,460,190","5,840,164","6,318,543","6,895,401","7,326,545","7,828,079","8,326,390","8,701,185","9,188,250","9,553,316","9,391,102","9,488,789","10,065,628","10,205,708","10,515,327","10,650,170","10,575,836","10,614,571","10,839,692","10,923,499","11,416,762","11,455,535","11,591,178","11,920,679","12,580,687","13,186,033","13,318,979","13,503,040","13,445,036","13,824,550","14,086,177","14,689,020","15,176,471","15,692,568","15,984,276","16,395,748","17,169,863","17,136,835","17,342,104","17,335,449","17,647,900","17,820,329","17,671,144","18,209,675","18,351,583","17,853,332","18,016,267","17,939,159","17,363,649","17,878,583","18,207,708","18,110,389","17,986,522","17,864,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
