Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2018,7090,GreyStone Power Corporation,GA,SOCO,.,22,38,.,60,.,16,189,.,204,.,0.8,9.4,.,10.2,.,0.8,9.4,.,10.2,.,.,.,.,.,.,.,.,.,.,.
2018,7140,Georgia Power Co,GA,SOCO,"52,670",8,51,.,"52,729",.,.,.,.,.,235.0,5.2,191.5,.,431.7,.,.,.,.,.,2,126,"7,896",.,"8,023","1,410",12,71,.,"1,492",.
2018,7294,City of Glendale - (CA),CA,LDWP,"33,000",.,.,.,"33,000",18,.,.,.,18,3.3,.,.,.,3.3,3.3,.,.,.,3.3,.,.,.,.,.,57,.,.,.,57,.
2018,7349,"Golden Spread Electric Cooperative, Inc",OK,SWPP,.,1,.,.,1,.,0,.,.,0,.,2.0,.,.,2.0,.,0.0,.,.,0.0,.,71,.,.,71,.,.,.,.,.,.
2018,7349,"Golden Spread Electric Cooperative, Inc",TX,SWPP,.,.,"3,773",.,"3,773",.,.,0,.,0,.,.,46.4,.,46.4,.,.,0.0,.,0.0,.,.,"1,810",.,"1,810",.,.,.,.,.,.
2018,7489,Grand Rapids Public Util Comm,MN,MISO,"1,002",59,0,0,"1,061",6,2,0,0,8,5.1,1.3,0.0,0.0,6.4,2.1,0.6,0.0,0.0,2.7,42,1,0,0,43,0,0,0,0,0,0
2018,7490,Grand River Dam Authority,OK,SWPP,.,.,1,.,1,.,.,0,.,0,.,.,18.5,.,18.5,.,.,14.7,.,14.7,.,.,.,.,.,.,.,.,.,.,.
2018,7570,Great River Energy,MN,MISO,"288,192","5,432",.,.,"293,624","15,330","2,759",.,.,"18,089",188.3,204.0,.,.,392.3,158.0,204.0,.,.,362.0,459,0,.,.,459,"4,481",958,.,.,"5,439",757
2018,7601,Green Mountain Power Corp,VT,ISNE,"15,971",451,5,.,"16,427",.,.,.,.,.,14.5,4.1,12.0,.,30.6,11.0,2.1,7.0,.,20.1,893,129,413,.,"1,435",.,.,.,.,.,180
2018,7634,City of Greenville - (TX),TX,ERCO,.,1,.,.,1,.,62,.,.,62,.,6.0,.,.,6.0,.,0.0,.,.,0.0,.,.,.,.,.,.,.,.,.,.,.
2018,7720,"Grundy Electric Coop, Inc",MO,AECI,"2,300",190,0,0,"2,490",0,0,0,0,0,1.5,0.5,0.0,0.0,2.0,0.8,0.2,0.0,0.0,1.0,5,0,0,0,5,6,1,.,.,7,.
2018,7752,Guadalupe Valley Elec Coop Inc,TX,ERCO,753,.,.,.,753,13,.,.,.,13,1.6,.,.,.,1.6,1.4,.,.,.,1.4,99,.,.,.,99,17,.,.,.,17,.
2018,7785,"Gulf Coast Electric Coop, Inc",FL,AEC,814,.,.,.,814,1,.,.,.,1,1.0,.,.,.,1.0,1.0,.,.,.,1.0,0,.,.,.,0,6,.,.,.,6,.
2018,7801,Gulf Power Co,FL,SOCO,639,63,59,0,761,470,0,0,0,470,1.4,59.9,255.7,.,317.0,1.4,59.9,255.7,0.0,317.0,0,0,0,0,0,"2,752",0,0,0,"2,752",.
2018,7977,City of Hamilton - (OH),OH,PJM,.,4,.,.,4,.,16,.,.,16,.,16.3,.,.,16.3,.,16.3,.,.,16.3,.,.,.,.,.,.,.,.,.,.,.
2018,8179,Harrison County Rural E M C,IN,MISO,105,11,.,.,116,.,.,.,.,.,1.0,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
2018,8210,Hart Electric Member Corp,GA,SOCO,"28,213","8,091",.,.,"36,304",160,42,.,.,202,2.4,0.6,.,.,3.0,2.4,0.6,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.
2018,8288,City of Hawarden - (IA),IA,MISO,223,.,.,.,223,1,.,.,.,1,0.3,.,.,.,0.3,0.3,.,.,.,0.3,.,.,.,.,.,3,.,.,.,3,.
2018,8319,Heartland Power Coop,IA,MISO,"2,789",72,1,.,"2,862",.,.,.,.,.,1.2,9.3,0.1,.,10.6,1.2,9.1,0.1,.,10.4,.,.,.,.,.,66,2,1,.,69,0
2018,8333,Haywood Electric Member Corp,NC,DUK,435,.,.,.,435,1,.,.,.,1,1.0,.,.,.,1.0,1.0,.,.,.,1.0,36,.,.,.,36,.,.,.,.,.,.
2018,8570,Highline Electric Assn,CO,WACM,.,.,232,.,232,.,.,.,.,.,.,.,18.7,.,18.7,.,.,0.0,.,0.0,.,.,212,.,212,.,.,103,.,103,.
2018,8570,Highline Electric Assn,NE,WACM,.,.,294,.,294,.,.,.,.,.,.,.,17.2,.,17.2,.,.,0.0,.,0.0,.,.,196,.,196,.,.,95,.,95,.
2018,8574,"Jackson Electric Coop, Inc - (WI)",WI,MISO,"5,084",216,0,0,"5,300",0,0,0,0,0,2.3,10.6,0.0,0.0,12.9,1.6,7.5,0.0,0.0,9.1,613,26,0,0,639,106,4,0,0,110,57
2018,8786,Horry Electric Coop Inc,SC,SC,"5,844",.,.,.,"5,844",47,.,.,.,47,0.2,.,.,.,0.2,0.2,.,.,.,0.2,25,.,.,.,25,.,.,.,.,.,.
2018,8901,CenterPoint Energy,TX,ERCO,"15,143",208,.,.,"15,351",117,664,.,.,781,19.5,98.0,.,.,117.5,19.5,110.6,.,.,130.1,838,"3,346",.,.,"4,185",128,299,.,.,427,.
2018,8924,Howard Greeley Rural P P D,NE,SWPP,.,.,"1,245",.,"1,245",.,.,5,.,5,.,.,22.0,.,22.0,.,.,11.8,.,11.8,.,.,28,.,28,.,.,7,.,7,.
2018,9191,Idaho Power Co,ID,IPCO,"25,845",131,"2,285",0,"28,261",.,.,.,.,.,29.0,31.0,288.0,0.0,348.0,.,.,.,.,.,374,310,"6,467",0,"7,151",434,59,243,0,736,.
2018,9191,Idaho Power Co,OR,IPCO,337,9,50,0,396,.,.,.,.,.,0.4,2.4,8.9,0.0,11.6,.,.,.,.,.,5,61,169,0,235,31,3,13,0,47,.
2018,9209,Illinois Rural Electric Coop,IL,MISO,.,183,.,.,183,.,4,.,.,4,.,4.0,.,.,4.0,.,4.0,.,.,4.0,.,.,.,.,.,.,20,.,.,20,.
2018,9231,City of Independence - (MO),MO,SWPP,.,.,2,.,2,.,.,0,.,0,.,.,2.0,.,2.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,9267,"Hoosier Energy R E C, Inc",IN,MISO,"16,665",.,.,.,"16,665",0,.,.,.,0,12.0,.,.,.,12.0,12.0,.,.,.,12.0,14,.,.,.,14,0,.,.,.,0,.
2018,9273,Indianapolis Power & Light Co,IN,MISO,"52,228",444,2,.,"52,674",223,1,.,.,224,39.9,1.1,1.4,.,42.4,39.9,1.1,.,.,41.0,937,13,14,.,964,"1,964",171,.,.,"2,135",.
2018,9324,Indiana Michigan Power Co,IN,PJM,"2,433",94,0,0,"2,527",480,8,0,0,488,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,337,0,0,0,337,858,1,0,0,859,0
2018,9324,Indiana Michigan Power Co,MI,PJM,563,0,0,0,563,104,0,0,0,104,6.6,0.0,0.0,0.0,6.6,6.6,0.0,0.0,0.0,6.6,96,0,0,0,96,142,0,0,0,142,0
2018,9417,Interstate Power and Light Co,IA,MISO,"38,500",86,87,0,"38,673",70,92,388,0,550,44.4,46.0,193.0,0.0,283.4,44.0,29.0,119.0,0.0,192.0,"1,687","4,392","18,427",0,"24,506",359,16,16,0,391,0
2018,9431,Irwin Electric Membership Corp,GA,SOCO,.,.,600,.,600,.,.,20,.,20,.,.,30.0,.,30.0,.,.,5.0,.,5.0,.,.,.,.,.,.,.,25,.,25,.
2018,9576,Jackson County Rural E M C - (IN),IN,MISO,72,.,.,.,72,.,.,.,.,.,0.1,.,.,.,0.1,0.1,.,.,.,0.1,.,.,.,.,.,37,.,.,.,37,.
2018,9590,"Jackson Electric Coop, Inc - (TX)",TX,ERCO,.,.,9,.,9,.,.,.,.,.,.,.,44.0,.,44.0,.,.,36.0,.,36.0,.,.,"1,819",.,"1,819",.,.,.,.,.,.
2018,9601,Jackson Electric Member Corp - (GA),GA,SOCO,"23,167","2,574",.,.,"25,741",.,.,.,.,.,11.0,1.0,.,.,12.0,11.0,1.0,.,.,12.0,374,41,.,.,415,9,1,.,.,10,.
2018,9617,JEA,FL,JEA,.,.,34,.,34,.,.,.,.,.,.,.,176.0,.,176.0,.,.,95.0,.,95.0,.,.,"11,838",.,"11,838",.,.,.,.,.,.
2018,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,587",.,3,.,"1,590",.,.,.,.,.,1.6,.,0.4,.,2.0,1.5,.,0.3,.,1.8,132,0,3,.,135,12,.,.,.,12,0
2018,9778,Johnson County Rural E M C,IN,MISO,.,.,2,.,2,.,.,28,.,28,.,.,1.1,.,1.1,.,.,1.1,.,1.1,.,.,31,.,31,.,.,2,.,2,.
2018,9922,Jump River Electric Coop Inc,WI,MISO,"4,511",144,0,0,"4,655",.,.,.,.,.,7.9,0.1,0.0,0.0,8.0,3.4,0.0,0.0,0.0,3.4,76,2,0,0,78,49,2,0,0,51,.
2018,10000,Kansas City Power & Light Co,KS,SWPP,"16,090","2,839",.,.,"18,929",.,.,.,.,.,16.1,2.8,.,.,18.9,.,.,.,.,.,.,.,.,.,.,139,.,.,.,139,0
2018,10000,Kansas City Power & Light Co,MO,SWPP,"30,233","5,345",.,.,"35,578",189,31,.,.,220,35.1,22.7,.,.,57.8,.,.,.,.,.,208,545,.,.,753,"1,150",387,.,.,"1,537",0
2018,10005,Kansas Gas & Electric Co,KS,SWPP,"26,835","1,048",41,.,"27,924",.,.,.,.,.,.,8.0,177.0,.,185.0,.,.,.,.,.,.,86,"4,571",.,"4,657",386,15,.,.,401,.
2018,10065,KBR Rural Public Power District,NE,SWPP,.,.,500,.,500,.,.,0,.,0,.,.,0.0,.,0.0,.,.,0.0,.,0.0,.,.,0,.,0,.,.,0,.,0,.
2018,10171,Kentucky Utilities Co,KY,LGEE,"74,113",946,0,0,"75,059",0,0,0,0,0,79.2,11.8,0.0,0.0,91.0,0.0,5.5,0.0,0.0,5.5,"1,083",151,0,0,"1,235","1,424",255,0,0,"1,679",0
2018,10558,"LaCreek Electric Assn, Inc",SD,WACM,388,.,118,.,506,.,.,.,.,.,3.0,.,14.3,.,17.3,3.0,.,14.3,.,17.3,0,.,0,.,0,6,.,0,.,6,.
2018,10595,City of Lake City - (MN),MN,MISO,.,.,3,.,3,.,.,.,.,.,.,.,3.6,.,3.6,.,.,.,.,.,.,.,36,.,36,.,.,.,.,.,.
2018,10596,City of Lake Crystal - (MN),MN,MISO,261,.,.,.,261,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,4,.,.,.,4,.,.,.,.,.,.
2018,10768,"Laurens Electric Coop, Inc",SC,DUK,"5,210",.,2,.,"5,212",12,.,4,.,16,6.7,.,3.0,.,9.7,6.5,.,2.0,.,8.5,.,.,.,.,.,.,.,.,.,.,.
2018,10857,"Lee County Electric Coop, Inc",FL,FPL,"17,512",43,.,.,"17,555",152,561,.,.,713,3.6,26.7,.,.,30.3,3.6,13.3,.,.,16.9,720,995,.,.,"1,715",111,177,.,.,288,.
2018,11018,Lincoln Electric System,NE,SWPP,"1,092",.,.,.,"1,092",.,.,.,.,.,1.2,.,.,.,1.2,1.0,.,.,.,1.0,57,.,.,.,57,100,.,.,.,100,.
2018,11064,Litchfield Public Utilities,MN,MISO,"1,932",251,1,.,"2,184",37,4,.,.,41,1.2,0.1,0.1,.,1.4,0.4,0.1,.,.,0.5,.,.,.,.,.,17,1,1,.,19,.
2018,11171,Long Island Power Authority,NY,NYIS,"14,184","2,672",.,.,"16,856",.,.,.,.,.,22.0,7.0,.,.,29.0,17.3,5.5,.,.,22.8,.,.,.,.,.,"1,096",206,.,.,"1,302",.
2018,11208,Los Angeles Department of Water & Power,CA,LDWP,.,15,6,.,21,.,450,196,.,646,.,107.9,41.1,.,148.9,.,53.9,20.5,.,74.5,.,296,288,.,584,.,.,.,.,.,.
2018,11249,Louisville Gas & Electric Co,KY,LGEE,"88,465",870,0,0,"89,335",0,0,0,0,0,94.5,14.0,0.0,0.0,108.5,0.0,10.1,0.0,0.0,10.1,"1,152",182,0,0,"1,334","1,680",326,0,0,"2,006",0
2018,11251,Loup River Public Power Dist,NE,SWPP,.,489,.,.,489,.,.,.,.,.,.,29.5,.,.,29.5,.,11.5,.,.,11.5,.,.,.,.,.,.,27,.,.,27,.
2018,11273,Lower Valley Energy Inc,ID,BPAT,8,.,.,.,8,.,.,.,.,.,0.0,.,.,.,0.0,0.0,.,.,.,0.0,1,.,.,.,1,.,.,.,.,.,.
2018,11273,Lower Valley Energy Inc,WY,BPAT,507,.,.,.,507,.,.,.,.,.,2.3,.,.,.,2.3,1.1,.,.,.,1.1,61,.,.,.,61,.,.,.,.,.,.
2018,11291,Lumbee River Elec Member Corp,NC,CPLE,136,.,3,.,139,0,.,0,.,0,0.2,.,0.4,.,0.6,0.1,.,0.0,.,0.1,11,.,0,.,11,0,.,0,.,0,0
2018,11298,Lyon Rural Electric Coop,IA,SWPP,992,11,.,.,"1,003",.,.,.,.,.,0.5,0.0,.,.,0.5,.,.,.,.,.,36,1,.,.,36,.,.,.,.,.,27
2018,11475,City of Madison - (SD),SD,MISO,"2,033",.,.,.,"2,033",102,.,.,.,102,17.0,.,.,.,17.0,0.0,.,.,.,0.0,185,.,.,.,185,5,.,.,.,5,0
2018,11479,Madison Gas & Electric Co,WI,MISO,"13,525",12,0,0,"13,537",0,0,0,0,0,7.6,27.2,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,125,0,0,0,125,.,0,0,0,0,.
2018,11560,City of Manassas - (VA),VA,PJM,"1,729",.,.,.,"1,729",7,.,.,.,7,0.6,.,.,.,0.6,0.6,.,.,.,0.6,0,.,.,.,0,46,.,.,.,46,.
2018,11581,City of Manning,IA,SWPP,224,.,.,.,224,3,.,.,.,3,0.3,.,.,.,0.3,0.3,.,.,.,0.3,1,.,.,.,1,.,.,.,.,.,.
2018,11731,City of Marshall - (MN),MN,MISO,"3,949",482,147,.,"4,578",745,"2,704",317,.,"3,767",3.5,4.3,1.4,.,9.3,3.5,4.3,1.4,.,9.3,113,437,145,.,695,32,19,6,.,57,11
2018,11811,Town of Massena - (NY),NY,NYIS,754,1,.,.,755,3,1,.,.,4,2.3,0.3,.,.,2.5,0.8,0.3,.,.,1.0,18,15,.,.,33,9,2,.,.,11,.
2018,11843,Maui Electric Co Ltd,HI,NA,.,25,.,.,25,.,3,.,.,3,.,2.7,.,.,2.7,.,2.7,.,.,2.7,.,868,.,.,868,.,179,.,.,179,.
2018,12199,Montana-Dakota Utilities Co,MT,SWPP,0,1,12,0,13,0,0,0,0,0,0.0,0.1,20.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0,4,697,0,701,0,2,299,0,301,.
2018,12199,Montana-Dakota Utilities Co,ND,MISO,0,22,6,0,28,0,5,6,0,11,0.0,7.6,12.4,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0,295,535,0,831,0,33,37,0,70,.
2018,12199,Montana-Dakota Utilities Co,WY,WACM,733,0,0,0,733,341,0,0,0,341,16.0,0.0,0.0,0.0,16.0,2.8,0.0,0.0,0.0,2.8,183,0,0,0,183,0,0,0,0,0,.
2018,12208,City of McPherson - (KS),KS,SWPP,.,20,.,.,20,.,.,.,.,.,.,1.0,.,.,1.0,.,1.0,.,.,1.0,.,12,.,.,12,.,1,.,.,1,.
2018,12260,Mecklenburg Electric Cooperative,VA,PJM,.,5,.,.,5,.,110,.,.,110,.,5.0,.,.,5.0,.,2.0,.,.,2.0,.,13,.,.,13,.,.,.,.,.,.
2018,12265,City of Medford - (WI),WI,MISO,1,26,6,.,33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,12268,"Medina Electric Coop, Inc",TX,ERCO,.,.,792,.,792,.,.,.,.,.,.,.,79.8,.,79.8,.,.,32.9,.,32.9,.,.,.,.,.,.,.,16,.,16,.
2018,12301,Nodak Electric Coop Inc,ND,MISO,"5,554",.,305,.,"5,859","24,043",.,"1,041",.,"25,084",140.7,.,64.4,.,205.1,52.5,.,29.2,.,81.8,15,.,0,.,15,192,.,0,.,192,.
2018,12341,MidAmerican Energy Co,IA,MISO,"62,927",46,61,.,"63,034",36,30,170,.,236,18.1,39.4,223.5,.,281.0,18.1,39.4,223.5,.,281.0,"1,886","1,811","10,264",.,"13,961",570,62,349,.,981,.
2018,12341,MidAmerican Energy Co,IL,MISO,"3,304",2,3,.,"3,309",2,5,5,.,12,1.0,3.5,19.9,.,24.4,1.0,3.5,19.9,.,24.4,99,161,915,.,"1,175",37,4,23,.,64,.
2018,12341,MidAmerican Energy Co,SD,MISO,233,.,.,.,233,0,.,.,.,0,0.1,.,.,.,0.1,0.1,.,.,.,0.1,7,.,.,.,7,1,.,.,.,1,.
2018,12377,Midwest Energy Cooperative,MI,PJM,"5,666",622,.,.,"6,288",.,.,.,.,.,8.0,20.0,.,.,28.0,6.0,10.0,.,.,16.0,992,9,.,.,"1,000",73,1,.,.,74,.
2018,12390,Metropolitan Edison Co,PA,PJM,"150,000",24,103,0,"150,127",0,0,0,0,0,6.0,2.2,78.6,0.0,86.8,5.7,1.2,46.7,0.0,53.6,0,0,0,0,0,366,85,836,0,"1,288",.
2018,12395,Menard Electric Coop,IL,MISO,968,18,"1,233",.,"2,219",33,1,238,.,272,2.0,7.7,49.0,.,58.6,.,.,.,.,.,52,1,.,.,53,.,.,169,.,169,.
2018,12439,"Midstate Electric Coop, Inc",OR,BPAT,225,.,.,.,225,.,.,.,.,.,3.8,.,.,.,3.8,2.2,.,.,.,2.2,9,.,.,.,9,25,.,.,.,25,.
2018,12463,"Mid-Yellowstone Elec Coop, Inc",MT,WAUW,33,.,.,.,33,96,.,.,.,96,0.2,.,.,.,0.2,0.2,.,.,.,0.2,0,.,.,.,0,0,.,.,.,0,.
2018,12472,Middle Georgia El Member Corp,GA,SOCO,.,.,461,.,461,.,.,64,.,64,.,.,36.0,.,36.0,.,.,8.0,.,8.0,.,.,.,.,.,.,.,.,.,.,.
2018,12524,Midwest Energy Inc,KS,SWPP,0,12,666,0,678,0,5,29,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,252,723,0,975,0,0,452,0,452,.
2018,12539,Midwest Electric Member Corp,NE,WACM,.,.,"1,488",.,"1,488",.,.,0,.,0,.,.,43.8,.,43.8,.,.,20.4,.,20.4,.,.,878,.,878,.,.,.,.,.,.
2018,12615,City of Milton-Freewater- (OR),OR,BPAT,700,62,80,.,842,147,12,18,.,177,4.0,.,.,.,4.0,3.0,.,.,.,3.0,39,3,5,.,47,.,.,.,.,.,.
2018,12647,"ALLETE, Inc.",MN,MISO,"7,424",526,11,.,"7,961","1,661",349,5,.,"2,015",26.0,4.0,265.0,.,295.0,.,.,.,.,.,217,69,"3,392",.,"3,678",.,.,.,.,.,.
2018,12660,Village of Minster - (OH),OH,PJM,0,0,1,.,1,.,.,.,.,.,.,.,3.9,.,3.9,.,.,3.9,.,3.9,.,.,7,.,7,.,.,0,.,0,.
2018,12681,Mississippi County Electric Co,AR,MISO,.,.,758,.,758,.,.,.,.,.,.,.,3.0,.,3.0,.,.,2.0,.,2.0,.,.,397,.,397,.,.,204,.,204,.
2018,12686,Mississippi Power Co,MS,SOCO,.,6,11,.,17,0,0,0,.,0,0.0,24.2,130.2,.,154.4,0.0,0.0,0.0,.,0.0,0,474,781,0,"1,256",0,0,0,0,0,0
2018,12698,KCP&L Greater Missouri Operations Co.,MO,SWPP,"25,396","4,603",.,.,"29,999","1,050",91,.,.,"1,141",31.4,57.3,.,.,88.8,.,.,.,.,.,233,"1,663",.,.,"1,896","2,165","1,227",.,.,"3,392",.
2018,12745,Modesto Irrigation District,CA,BANC,"12,335",65,8,0,"12,408",.,.,.,.,.,9.0,1.0,19.8,.,29.8,.,.,.,.,.,236,16,358,0,610,20,28,28,0,76,.
2018,12796,Monongahela Power Co,WV,PJM,0,0,1,0,1,0,0,0,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,.
2018,12894,City of Moorhead - (MN),MN,SWPP,"2,606",58,.,.,"2,664","1,133",603,.,.,"1,736",11.0,13.0,.,.,24.0,8.0,6.0,.,.,14.0,62,243,.,.,305,69,0,.,.,69,.
2018,12900,City of Mora - (MN),MN,MISO,0,1,0,0,1,0,0,0,0,0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2,0,1,0,0,1,0
2018,12915,Moreau-Grand Electric Coop Inc,SD,SWPP,523,.,.,.,523,.,.,.,.,.,6.4,.,.,.,6.4,6.4,.,.,.,6.4,2,.,.,.,2,.,.,.,.,.,.
2018,13058,"Mountain View Elec Assn, Inc",CO,WACM,"1,331",33,.,.,"1,364",36,"1,438",.,.,"1,474",0.1,0.3,.,.,0.4,0.0,0.2,.,.,0.2,83,91,.,.,173,11,62,.,.,74,.
2018,13337,Nebraska Public Power District,NE,SWPP,.,359,4,.,363,.,.,.,.,.,.,8.0,60.0,.,68.0,.,6.0,.,.,6.0,.,340,.,.,340,.,43,.,.,43,.
2018,13407,Nevada Power Co,NV,NEVP,"78,490","2,143",0,0,"80,633","23,247","5,514",0,0,"28,761",169.3,16.8,0.0,0.0,186.1,159.0,13.0,0.0,0.0,172.0,"1,619",77,0,0,"1,696","11,273","2,083",.,.,"13,356",.
2018,13441,New Hampshire Elec Coop Inc,NH,ISNE,"5,500",.,.,.,"5,500",6,.,.,.,6,40.0,.,.,.,40.0,5.2,.,.,.,5.2,307,.,.,.,307,.,.,.,.,.,.
2018,13478,"Entergy New Orleans, LLC",LA,MISO,731,.,.,.,731,.,.,.,.,.,2.1,.,.,.,2.1,2.1,.,.,.,2.1,23,.,.,.,23,743,.,.,.,743,.
2018,13480,New Prague Utilities Comm,MN,MISO,862,6,0,0,868,12,37,0,0,49,0.3,0.6,0.0,0.0,0.9,0.1,0.6,0.0,0.0,0.6,23,24,0,0,47,103,3,0,0,106,0
2018,13485,New Smyrna Beach City of,FL,NSB,"2,805",.,.,.,"2,805",25,.,.,.,25,8.0,.,.,.,8.0,4.0,.,.,.,4.0,192,.,.,.,192,.,.,.,.,.,.
2018,13511,New York State Elec & Gas Corp,NY,NYIS,"5,266",118,47,.,"5,431",127,239,313,.,679,5.3,15.8,70.2,.,91.3,6.3,39.5,23.6,.,69.4,386,171,"1,005",.,"1,562",898,22,50,.,971,.
2018,13573,Niagara Mohawk Power Corp.,NY,NYIS,"3,550",212,94,.,"3,856",88,"1,123","6,828",.,"8,039",3.9,40.6,246.9,.,291.4,2.5,35.1,213.4,.,250.9,105,464,"4,153",.,"4,722",287,143,"1,279",.,"1,710",.
2018,13630,North Carolina Mun Power Agny #1,NC,DUK,.,67,19,.,86,60,"3,190","3,179",.,"6,429",1.0,72.0,74.0,.,147.0,1.0,52.0,63.0,.,116.0,.,.,.,.,.,.,.,.,.,.,.
2018,13640,Northern Virginia Elec Coop,VA,PJM,"34,455",1,8,.,"34,464",372,245,277,.,893,7.7,9.7,18.2,.,35.6,7.7,6.0,13.1,.,26.8,0,0,973,.,973,181,0,0,.,181,.
2018,13664,Norris Public Power District,NE,SWPP,0,2,"1,529",0,"1,531",0,0,0,0,0,0.0,0.5,73.0,0.0,73.5,0.0,0.3,19.0,0.0,19.3,0,0,0,0,0,0,11,218,0,229,.
2018,13676,"North Arkansas Elec Coop, Inc",AR,MISO,"8,697",.,.,.,"8,697",0,.,.,.,0,4.5,.,.,.,4.5,4.5,.,.,.,4.5,190,.,.,.,190,.,.,.,.,.,.
2018,13683,North Carolina El Member Corp,NC,DUK,"2,922",.,2,.,"2,924",.,.,.,.,.,3.5,.,2.4,.,5.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,675
2018,13687,North Carolina Eastern M P A,NC,CPLE,"139,000",186,253,.,"139,439",0,0,0,.,0,58.0,61.0,245.0,.,364.0,51.0,52.0,210.0,.,313.0,"3,279",625,310,.,"4,214","1,192",69,139,.,"1,400","1,000"
2018,13690,North Central MO Elec Coop Inc,MO,AECI,"2,514",93,.,.,"2,607",1,.,.,.,1,3.0,.,.,.,3.0,2.0,.,.,.,2.0,69,.,.,.,69,38,.,.,.,38,8
2018,13698,North Central Public Pwr Dist,NE,SWPP,.,.,906,.,906,.,.,"2,250",.,"2,250",.,.,71.0,.,71.0,.,.,18.0,.,18.0,.,.,.,.,.,.,.,215,.,215,0
2018,13725,City of North Platte,NE,SWPP,"1,061",83,2,.,"1,146",2,1,2,.,4,1.3,0.1,4.0,.,5.4,0.6,0.0,3.1,.,3.7,1,45,5,.,51,.,.,.,.,.,.
2018,13762,"Northern Neck Elec Coop, Inc",VA,PJM,"4,890",.,.,.,"4,890",134,.,.,.,134,3.7,.,.,.,3.7,3.7,.,.,.,3.7,21,.,.,.,21,.,.,.,.,.,.
2018,13780,Northern States Power Co,WI,MISO,"17,930","1,070",6,.,"19,006",1,0,0,.,1,0.5,4.8,3.0,.,8.3,0.5,4.8,0.0,.,5.3,"1,505",897,385,.,"2,787",339,45,19,.,403,.
2018,13781,Northern States Power Co - Minnesota,MN,MISO,"424,571","18,503",218,.,"443,292",655,434,93,.,"1,182",274.5,326.6,94.0,.,695.2,0.0,0.0,0.0,.,0.0,"28,451","25,642","1,253",.,"55,346","6,414","2,064",525,.,"9,003",.
2018,13781,Northern States Power Co - Minnesota,ND,MISO,"12,397",695,11,.,"13,103",16,15,0,.,31,7.4,15.0,46.0,.,68.4,0.0,0.0,0.0,.,0.0,871,"1,054","2,458",.,"4,383",23,28,65,.,116,.
2018,13781,Northern States Power Co - Minnesota,SD,MISO,"20,057",685,3,.,"20,745",22,16,0,.,38,10.8,16.1,6.0,.,32.9,0.0,0.0,0.0,.,0.0,"1,521",911,385,.,"2,817",185,49,4,.,238,.
2018,13798,Northwest Iowa Power Coop,IA,SWPP,"17,925",875,0,0,"18,800",0,0,0,0,0,65.4,5.1,0.0,0.0,70.5,17.5,5.1,0.0,0.0,22.6,"5,204",161,0,0,"5,365","3,548",110,0,0,"3,658",.
2018,13815,Northwestern Wisconsin Elec Co,WI,MISO,.,.,1,.,1,.,.,.,.,.,.,.,1.0,.,1.0,.,.,1.0,.,1.0,.,.,28,.,28,.,.,.,.,.,.
2018,13838,"Northfork Electric Coop, Inc",OK,SWPP,0,83,111,0,194,0,0,0,0,0,0.0,4.6,8.6,0.0,13.2,0.0,4.6,8.6,0.0,13.2,0,0,0,0,0,.,1,1,0,1,.
2018,13839,City of Norwood - (MA),MA,ISNE,554,0,0,0,554,0,0,0,0,0,2.5,0.0,0.0,0.0,2.5,0.4,0.0,0.0,0.0,0.4,5,0,0,0,5,16,0,0,0,16,0
2018,13936,Oakdale Electric Coop,WI,MISO,"5,585",138,1,0,"5,724",0,0,0,0,0,2.3,4.1,0.4,0.0,6.8,1.5,2.7,0.3,0.0,4.5,346,9,21,0,376,100,2,6,0,108,0
